user,text
JG,"My own definition of culture is: A group of people who share and follow a set of spoken and in some cases unspoken beliefs, ideas, traditions, values, and knowledge both tacit and explicit. My own definition of eLearning is: Learning and teaching that utilizes technology and electronic media formats over traditional resources. The three pillars that determine the success or failure of e-learning programs are the interconnectedness among (1) person, (2) behavior, and (3) environment. These are the three major areas that interventions should target. 1.E-learners' cognitive skills: E-learners must have the prerequisite knowledge and skills necessary to participate in e-learning. Computer competency through training, and practice, and time management skills are essential. 2.Environment: Organizations must support e-learning by offering a supportive culture, incentives, models, resources, and fostering e-learning self-efficacy. 3. Belief and behavior: E-learners' must have high e-learning self-efficacy and the appropriate behavioral skills such as taking responsibility for learning (Mungania, 2003). From this example in the research article 'The Seven eLearning Barriers Facing Employees,' I begin to see where eLearning and culture can have some commonalities. I believe that like these 3 pillars that determine the success or failure of eLearning programs, these 3 pillars can create or remove barriers within a culture. I notice how culture is associated with traits such as cognitive skills of the culture, the environment in which the culture thrives, and the beliefs and behaviors of the culture. As we implement eLearning strategies into different cultures, we must look at these 3 pillars to create and maintain a successful eLearning program for the target culture. ELearning, like culture is not one size fits all and requires some different approaches to how it is employed in order to suit the target culture. I look forward to your definitions and to this discussion, have a great week everyone!"
JL,"I agree that there must be high consideration of learner support in an eLearning environment.  I hadn't considered that in my definition, but it did remind me of my days as a supervisor, and how important it was to recognize when employees were struggling, and remove obstacles to aid in their success.  In turn, there must be some learner/employee accountability, and you mentioned that as well. One of the courses I teach is called Situational Leadership II (Blanchard, 1993), and provides a model for leadership styles that depend on individual situations (not the employee in general).  It really helps to put standards in place so that the playing field is leveled for all in management.  I believe the same applies to learners. My personal definition of culture: 'how things work' in a system that includes individuals and the beliefs, practices and interactions that occur daily. One can be involved in many different cultures, for example, family or large organizations, with sub-cultures embedded within (three sisters within a family, or a team within an organization), who in turn have their own way of 'how things work.' With a culture comes a set of unwritten rules for interaction that others outside of the culture must also have, since these behaviors can affect whether the outsider is allowed in, or not (unfortunately).  I think a great example for overcoming that barrier is, again, to set expectations up front; we saw a discussion participation rubric/self-assessment critera during last night's web conference, which let us know the rules of engagement.  Those standards for communication help set up a healthy and inclusive discussion environment (we can agree or disagree, we just have to agree on what is considered 'doing it nicely,' which can be its own challenge!). My personal definition of eLearning: educational content within an electronic learning system, accessible online/using the internet. The online educational content can include additional learning options such as pre and post tests, grading, blogging/discussion boards, email messaging, cafe socialization areas and modules that break down the learning into chunks. I like your 3 pillars that determine success or failure of an eLearning program, and also how you say they are 'not one size fits all,' because we have an obligation to provide some flexibility in our design, in order to promote collaborative knowledge creation and transformational learning.  I'm curious about the incentives, so was wondering if you could provide an example of an incentive for eLearning? Thanks for your post, it was a great start to our discussion!"
MM,"When I think of culture, the first thing that comes to my mind is ones customs and beliefs. Culture to me is taught or inherited by our close family members. We are taught certain beliefs, ideas, values and information early in age and as we grow older we become accustom to these ideas and beliefs and begin to accept and value them. Elearning has to do with learning via the internet, using today's media and technologies, such as computers, laptops, iPads and mobile smart phones. While doing a little research on culture and elearning I came across a great website that describes how the two go hand in hand (http://www.greller.eu/joomla/index.php/skills/9-generalknowledge-innovation/8-strategic-e-learning): To make e-learning an integral part of an institution it has to be firmly embedded within its business processes and strategic developments. This requires an enormous cultural change that not only affects lecturers as is often believed, but goes right from the top management to all sectors of the institution. It is a transformational change affecting everyone. Cultural change on this scale takes time and effort. The usual picture is the bell curve with the fast adopters at the forefront of development, followed by the mainstream and tailed by those reluctant or unable to change. Mainstreaming a development always comes with a training requirement. A good strategy incorporates these training and migration issues.' I thought this particular paragraph was a great addition to the 3 pillars JG described in his post regarding the person, environment and behavior. Great posts so far, thanks you two for getting the discussion started."
LW,"I, too , am enjoying this conversation. I like the quote you used, MM, in your reply. I was thinking about culture and eLearning...your quote mentions that an enormous culture change must occur when an institution embarks on an online education delivery system. I think it is specifically referring to the culture of the institution but it can also apply to the larger concept of culture. Part of the program I run is English as a second language, and in Los Alamos, our ESL students come from all over the world. I find it interesting the many ways that the different cultures learned in their home countries. Asian students tend to learn in the old-fashioned manner of lecture and rote memorization. They can sit for hours listening to their instructor. Of course, I'm generalizing. My S. Korean students love to take tests!They see them as the primary way to measure what they've learned. So when they come to our classes, most of them (not all) are pleased and surprised with the discussion format of most of our classes and other more interactive ways of learning. We have  Our Chinese students tell me they didn't necessarily have 'tiger' parents but the schools were very much so. Students start early in the day, study all day and then work with tutors into the night. Our Mexican students love to talk so they enjoy our classes because there is a lot of discussion and hands-on activities. These are live classes; imagine how the different students from different cultures would react to an online class. I think that culture is a system, designed over time, that reflects the ideals, mores, customs, and beliefs of people who live in the same part of the world. eLearning is also a system, a system that requires more than one player if it is to be done well. Each participant contributes something to the system in terms of platforms, course design, student support, etc. If the eLearning system is not designed well, and with cultural learning differences in mind, then it won't be effective."
AJ,"JG, These are brilliant definitions of culture and eLearning. I appreciate your inclusion of the words 'tacit' and 'explicit' as I completely skipped over these essential terms when coming up with my own ideas about it. However, I would like to raise one question with your defintion of culture. You define culture as 'A group of people...' What about when it's used as an object of possesion. For example, 'My culture', 'This is my culture', and so on. Just my thoughts. I learned quite a bit by your comprehensive definition of e-Learning. I'm brand new to OLIT this semester and this is the first time I've come across the three pillars of a successful e-Learning program. I definitely learned a lot here. Thanks! "
AJ,"Hi LW, You mentioned ESL and I just had to respond! I've been an ESL teacher in Asia for 6, going on 7, years now. I'm glad to see that your conclusions about Asian students measure up with my own observations. It's generally considered improper to generalize (no pun intended) in America but I think one can generalize the behaviors of students from countries like Japan and China. I say this because there is a striking consistency in actions among people/students from these places. Also. the 'drill and kill' approach used in public schools in these countries is not only common but expected by these students and their parents. I'm not sure if that's why they take to it so well or the other way around...chicken or egg? Also, yes Chinese and Japanese students go to school six days a week, often from morning to night. However, in Japan the pace of learning was much different than here in the U.S. Student's would mold their lives around school but that also meant plenty of social interaction and sleeping during these class hours. One just had to be in attendance and not necessarily awake to be considered 'present' for class. I later found the same thing applied to the adults when attending meetings, haha. Whew, I wrote a mini essay there. Thanks for sharing, LW, and it's great to meet another ESL teacher! "
EP,"Defining culture and e-learning and discussing how they interact. Wow, I love this thread already! :) So I really liked JL's use of the word 'systems' in her definition, so I'll begin there. My definition would be: Culture is a system of beliefs, traditions, customs, values, ideas, languages and behaviors shared by a group of people. I liked the idea of systems because its socially collaborative, meaning it allows for these different aspects of culture to interact and influence each other as well as allows for sub-cultures to exist in a larger cultural framework. My definition of e-Learning would be: Learning that utilizes technology like video, media, texting, and/or the internet to deliver content to the learner and allows for interactivity between theE learner, material, teacher and other students. Here, I appreciate JG's '3 pillars' because its an excellent way of blending e-Learning  ideas with cultural concepts, the individul, behavior, and environment. I can see all of these aspects affecting the learning experience. The first being just having the prerequisite knowledge, which JG brings up, for example my parent's generation might not be as confortable or experienced with technology as younger generations.  The second being cultural behaviors. I've had this experience myself teaching Chinese students Oral English online. One common problem is that no one will want to speak up. You can imagine how unproductive that is in an oral English Class! I learned from discussing the issue with students as well as co-workers that its partly a cultural issue. The students don't want to 'stand-out' in the classroom or be seen as a if they are 'showing off' in class, its very much looked down upon in Chinese society to act that way. The third one, environment. This might involve the infastructure, stability of a country, or even social ideas. I know in China we often had connectivity issues because of the internet speed. The Chinese use a firewall to block information this actually chokes the signal and causes slow internet speed. This can make it difficult to teach and learn in an online situation. That's all for now~!"
EP,"Hello MM, I appreciate this point you came across in your reading, 'To make e-learning an integral part of an institution it has to be firmly embedded within its business processes and strategic developments. This requires an enormous cultural change that not only affects lecturers as is often believed, but goes right from the top management to all sectors of the institution. It is a transformational change affecting everyone.' I've witnessed this personally when working with the Chinese company I teach for, called HJ. They are online language company that developed in China with Chinese business practices, methodologies, etc. I have noticed that their interactions with 'foriegn teachers' or native English speakers tend to fall flat or are very hesistant because they have little experience working with 'Western workers.' AJ and I were the second/third native English speakers that had ever worked there! I think we integrated with them well because we'd spent a fair amount of time in Asia so we were able to navigate and intuit much of what they needed (not to say we didn't butt heads!!) but they continue to have problems hiring a full-time Foriegn staff member. One reason I think are the different cultural expectations involved in the hiring process. The Chinese were very shocked when 'Westerners' would out right ask about Visas, taxes, pay, holidays etc. as they see these as something that's just not done! 'It's very rude'! But for a 'Westerner' abroad these are very real concerns that help us determine whether the company is trustworthy and reliable or to put it another, so we know 'what we are getting into.' For the Chinese, they first get hired, make it past the probationary point, then discuss pay etc. Also, from the 'Western' perspective the Chinese staff will often skirt around these issues or hesistate to answer the question directly (as its common practice not to give direct answers) this tends to turn-off the 'Westerner' as it comes across as sort of 'shady' untrustworthy behavior, but of course its not intended as such. So yes, for e-learning to  integrate into a company/schools practice the institution must at least be AWARE of these differences to really make it work. :)"
EP,"Hi LW, Its great that you are helping so many adult learners through your ESL program. (If you ever develop an online component, please consider me! :P) I don't think you are over-generalizing when describing the cultural learning practices of your students. It is common practice, at least, in my experience that the Asian institutions do teach that way: lecture, remote memorization, and a preoccupation with exams. One thing I often remind my ESL students of is that learning a language is also about learning culture. How we use the language, for example English, to express ourselves reflects cultural programming. It does not mean that they can not use English to express their own individual personalities rather to experience the full flavor of the English language they need to have the experience of using it as a native-speaker would. In this case, having a discussion aspect in a classroom and expressing their opinions, agreeing and disagreeing etc. is a common cultural practice for American-English students/speakers and its important that ESL learners are at least aware of or familiar with this style of communication. I find that this type of explanation (usually a much simpler version) helps students, who are uncomfortable engaging in this style of learning or communication, understand why they are doing it, even if they don't like it!!"
AJ,"My personal definition of culture is: a particular set of actions, behaviors, and beliefs that, when shared in by a group of people, result in a sense of identity. This identity distinguishes between those in the group and those outside it. My definition of eLearning is the process of instruction, based in technology, that includes significant interaction between the teacher and student. I think the most obvious connection between culture and eLearning would be the aims, goals and lesson content provided in the learning. All three aspects will be heavily influenced by not only the dominant culture of where the institution is located but also dictated by the culture (if any) of the target audience attending. Then there is the culture within the eLearning institution. In the case of systems approach there are many different parts creating a whole. An internal culture that supports the needs of the learner as well as being connected to the proper content, teaching methodology, and means of implementation would have a essential influence on the effectiveness of the program. Third, is my own observation. Self-directed learning seems to be the current paradigm in eLearning (I could be wrong about this, this is my first semester in OLIT :D). SDL is a process of learning that occurs when the student takes the initiative in identifing objectives and the methods for solving them. This, I argue, works fine in a place like the U.S.A. where we are taught to be independent thinkers. However, I argue that this model may not be as effective in countries whose cultures emphasize the group over the individual. In these societies, decisions are most often made in groups. I am thinking of my time in Asia as an example. Students from these cultures may not have the prerequisite knowledge or skills necessary to solve a problem individually. Does that mean that instructors have to evolve their methods to include group-directed learning? So, when implementing eLearning in cultures different from our own I think efforts will have to made to accomodate the eccentricities of the dominant culture. Thus, culture does influence eLearning. Those are my thoughts, thank you! "
BS,"What a devilishly difficult assignment! It's times like these that I sort of regret focussing so heavily on science stuff in my formal education.  I think it's a handicap for this kind of task - it isn't that I don't have enough words, most of my family will tell you I have plenty, but it has to do with the assembly of them when the 'right' answer is not static and prescribed. (I tried going to Wikipedia to break through my writer's block and nearly drowned in the words there; so I'm here just trying to express it like a five-year old.) Culture: The summation of the social influences exerted by family, friends, education, language, religion, nationality, art and media, and literature on an individual. eLearning: Learning facilitated by interactive technology linking teacher and student, whether direct and personal (e.g., this class) or indirect and impersonal (e.g., watching TED talks or taking an automated online defensive driving class in which you never communicate with the original course designer or an instructor). So... that's all I have. Please be kind."
LW,"Hi AJ, I just learned that myself about Chinese students -- that they don't necessarily stay awake while spending all those hours in school. This year, we have a young Chinese woman who is our ESL intern. She told me that in China there is usually a long lunch break during which people will take a quick nap before they face the rest of the day. She said people at their offices will put up a Closed sign and curl up on their desks... "
LW,"I agree, EP, and I tell my students something similar. I believe that learning a new language fluently requires learning a whole new way of thinking, one that is tied to the culture that speaks that language. "
CJ,"Hello class- great discussion going on here! My definitions were as follows: 1. Culture- a people-centered (language, ethnicity, biological factors, etc.) group of norms, beliefs, values and/or judgements that drive explicit and implicit behavior within a specific context (i.e. family, work group, school, state, region, country, etc.) 2. eLearning- Learning that occurs via an electronic medium. I mentioned in my journal post that I sort of 'wimped out' on the eLearning definition, keeping it superficial.  I really couldn't think about going into the different types of electronic mediums there were (technologies) and the who/what/when/where's of how people use them without getting overwhelmed.  Then, I thought of all the types of electronic mediums that can exist even without the internet and just left it at the definition you see above. JL, I wanted comment on your comment regarding culture.  I really liked how you mentioned 'sub-cultures' and as other have echoed, it is important to remind ourselves that cultures can be layered upon each other depending on the person.  This is probably what I had in mind when I mentioned 'people-centered'... maybe 'people-centric' might have been a more effective word to use, but nonetheless, it expresses how culture is unique to each person's experience(s).  It also reminds me that culture can exist in the background too, not loud and outright in the open. As far as how culture and eLearning might be connected, I liked what LW said: 'If the eLearning system is not designed well, and with cultural learning differences in mind, then it won't be effective.'  I also read an interesting article that stated 'Learning style preferences are shaped by culture, which provide the 'mold' by which we obtain, process and use information.' (http://umaine.edu/projectopportunity /files/2011/07/Vol2_7.pdf)  It describes how culture shapes the different psychological, sociological, emotional, psysiological, and physical factors which serve as a lens (our eyes) for learning preferences, including a preference for learning through technology."
JG,"Hi JL,     I liked in your definition of eLearning how you mentioned additional learning options such as modules that break down the learning into chunks. I am a big believer in the concept of 'chunking' information so that it can be easily recalled later, especially when studying for an exam. I see what you mean in this instance, because there is a lot of information for us to juggle in an online course and if we did not have modules to help us break down the information into smaller portions, I believe that it would be much more difficult to learn in an online environment. In F2F courses, they usually just give you all the information in a lecture and then you are required to memorize it for later use in a research paper or on an exam. However, in online courses, we are expected to use the information and apply it to real world situations and this is where that obligation to provide some flexibility in our designs comes into focus, along with the design of the course itself.     From the article where I got the 3 pillars of eLearning, I figure that they mean incentives for eLearning in a workplace environment such as the incentive of taking an online course or degree program with the incentive of increased salary or even in our academic environment where our incentive for eLearning is a degree or certificate that can lead to a better job. These are just some things I came up with, there are other incentives to eLearning such as being able to learn at your own pace, wherever you choose, at what ever time. This is what I took from the article, perhaps there are other incentives? Great post! Have a wonderful 3 day weekend:)"
JG,"Hi CJ,     I liked your definition of culture, especially how you worded it with being 'people-centered.' This was a perfect wording of what I was trying to rack my brain to come up with! I ended up stating a 'group of people,' however, this is incorrect because culture does not always refer to a group of people and can refer to traits or even tangible things within a group of people. I also liked how you mentioned the importance of the context in which behavior within a culture occurs. This is important, because what is perfectly acceptable within one culture is not acceptable within another and this is due to cultural beliefs, but also the context in which these behaviors occur. I see how my definition of culture is being restructured with every new definition I read in this post! Great posting, have a nice Labor Day weekend:)"
JG,"Hi AJ!     Thank you for the vote of confidence in how well my definitions of culture and eLearning were! I am learning more and more as I read posts that I need to re-think my original definitions:) Ha ha. You are completely correct and I just posted a reply to CJ concerning my wording of a 'group of people.' I now see that culture can definitely be used in a much broader context than just people. I totally agree that it can be used to define even inantimate objects such as the way a certain culture dresses or even in a psychological context of how a certain culture behaves in certain situations. Thank you for bringing this to my attention:) I'm glad you learned a lot out of the 3 pillars of eLearning I got from the article. If you have time, the complete article is very interesting and can be found at: http://aerckenya.org /docs/ElearningReport.pdf Thank you for your insightful comments and have a great Labor Day weekend!"
JG,"Hi MM,     I liked you definitions of culture and eLearning, especially how it is taught or inherited by us from close family members. I relate to this as I am Hispanic and live in Santa Fe, NM where this concept of generativity involving culture is very prominent. I was initially taught by my elders what was culutally acceptable and what was not, however, as I grow and age, I find some of those things that I was taught by my elders to be either true or very false. I see this with my niece and her daughter (I am a 29 year old Great-Uncle:) and how she is already instilling our cultural knowledge within her. I also like the website you found and how eLearning is a transformational change that affects everyone. I believe it is very uncomfortable and shocking for some to realize that you do not need a brick and mortar institution with teachers and students present in the classroom for someone to learn well. This change of thinking requires some transformational learning (OLIT 561:) to make the transition from traditional learning to eLearning successful. Great post, have a great weekend! "
TK,"I define Culture as the combined affect on a person by the people, locations, education, and experiences they have been exposed to in their lifetime. I used to teach middle school and a large component of my work was helping kids define their communities, and their rights and responsibilities in those communities. I feel like I'm living my class in a higher education setting! As for eLearning, I would say that it is any kind of knowledge transfer that occurs via a modern electronic medium including computer, phones, smart phones, tablets.t"
